"Title","DateNonConformite","NoProjet","Departement","Responsable","Non-Conformite","Description","EnvoiMail","AjoutMesureCorrective","Correction","DateCorrection","Confirmation"
"181","2023-05-29","230221","Ventes","Daniel Doré","Commande","augmentation des verres Vision de 2'' sur un balcon à cause de la pente sans aucun extra
Projet en 2 phases seulement 1 prise de mesure","Oui","Non",,,"Oui"
"182","2023-06-01","230292","Ventes","Daniel Doré","Erreur Couleur","Rampes vendu noir mais c'est blanc","Oui","Non",,,"Oui"
"183","2023-06-01","220741","Commande","Nadine Giguère","Commande","Erreur de couleur de verre commandé verre clair mais vendu verre bronze. Daniel essai de le faire passer au client.","Oui","Non",,,"Oui"
"184","2023-06-02","230209","Mesures","Mesureurs","Erreur de mesures","2 Sections du haut trop longue","Oui","Non",,,"Oui"
"185","2023-06-05","230400","Ventes","Martin Boiteau","Kilométrage","Chargé installation minimum 350.00$ pour 40 kilomètres mais projet à 80 kilomètre et seulement 20 km en extra.","Oui","Non",,,"Oui"
"186","2023-06-06","230053","Mesures","Mesureurs","Mauvaise mesure de section","Sur le plan des mesures prise l'angle n'est pas mis du bon sens donc on refait toujours la même chose car manque d'analyse","Oui","Non",,,"Oui"
"187","2023-06-07","230025","Production","Production","Equerres","manque ne équerre dans une section de verre","Oui","Non",,,"Oui"
"188","2023-06-13","230216","Ventes","Daniel Doré","Installation","Montant chargé par PFT pour la désinstallation des rampes, l'installation des plaques et la réinstallation des rampes 6080.00$
Montant su la commande 5393,25$","Oui","Non",,,"Oui"
"189","2023-06-19","230231","Production","Catherine Denis","Mauvaise mesure de coupe","Mains de 2 descentes trop courte","Oui","Non",,,"Oui"
"190","2023-06-19","230231","Production","Production","Equerres","Manque 1 équerre de fixation dans une track et une main coupé trop courte","Oui","Non",,,"Oui"
"191","2023-06-27","230501","Ventes","Daniel Doré","Erreur de produit","le client commande seulement des pièces les poteaux aurait dû être vendu avec le code poteau seul","Oui","Non",,,"Oui"
"192","2023-06-28","230515","Ventes","Daniel Doré","Erreur de produit","1 poteau vendu seul mais pas avec le code de poteau seul","Oui","Non",,,"Oui"
"193","2023-06-28","230424","Ventes","Daniel Doré","Erreur de prix","Nous avons un extra pour les verres à 2'' du sol parcontre selon la pente nous devons ajouter un  2'' de plus pour les poteaux et les verres.
On demande de facturer tel quel.","Oui","Non",,,"Oui"
"194","2023-06-28","230519","Ventes","Daniel Doré","Erreur Couleur","le client a inscrit gris charbon mais la commande est en noir. Redonné pour modification.","Oui","Non",,,"Oui"
"195","2023-06-28","230525","Ventes","Daniel Doré","Erreur code","Seulement des poteaux de vendu dans cette commande mais pas avec le code de poteau seul","Oui","Non",,,"Oui"
"196","2023-06-29","230528","Ventes","Daniel Doré","Produit manquant","manque la livraison","Oui","Non",,,"Oui"
"197","2023-06-29","230530","Ventes","Guy Drolet","Installation","Commande enter le 29 juin et date requise pour installation le 7 juillet","Oui","Non",,,"Oui"
"198","2023-06-29","230530","Ventes","Guy Drolet","Kilométrage","Proet à 80 km et aucun extra pour prise de mesure et installation 20 km supp.","Oui","Non",,,"Oui"
"199","2023-07-05","230548","Ventes","Daniel Doré","Produit manquant","10 colonnes 3'' à livrer à la Durantaye sans aucun frais de livraison","Oui","Non",,,"Oui"
"200","2023-07-06","230548","Ventes","Daniel Doré","Commande","Demande de soumission qui a été passé en commande sans l'accord du client","Oui","Non",,,"Oui"
"201","2023-07-10","230424","Commande","Nadine Giguère","Commande","Commander 3 verres de la même longueur que la track","Oui","Non",,,"Oui"
"202","2023-07-12","230582","Ventes","Daniel Doré","Erreur code","poteaux vendu seul avec attache vision, 
poteau vendu normale pas avec le code seul","Oui","Non",,,"Oui"
"203","2023-07-18","230375-S2","Mesures","Mesureurs","Erreur Pente","Aucune pente de bonne sur le plan 230375-S2","Oui","Non",,,"Oui"
"205","2023-07-19","230597","Ventes","Daniel Doré","Produit manquant","manque frais de descente","Oui","Non",,,"Oui"
"206","2023-07-18",,"Production","Production","Equerres","Manque des équerres dans les rampes en barrotin","Oui","Non",,,"Oui"
"207","2023-07-19","230387","Production","Production","Poteaux à l'envers sur barrière","Poteaux montés à l'envers sur la barrière en verre, le logo se retrouve en haut (le verre était bien monté)","Oui","Non",,,"Oui"
"208","2023-07-19","230441","Production","Production","Mauvaise mesure de coupe","Pièces de murs intimités 2"" trop longue (track du haut), Bertrand est au courant et a compris son erreur","Oui","Non",,,"Oui"
"209","2023-08-10","230629","Ventes","Daniel Doré","Installation","manque installation Barrièere","Oui","Non",,,"Oui"
"210","2023-08-10","230510","Production","Production","poteau percé","1 poteau percé avec un trou 1"" plus bas (production avisé) ","Oui","Non",,,"Oui"
"211","2023-08-11","230586","Ventes","Daniel Doré","Installation","il aurait fallu chargé l'installation minimum de 350.00 + installation de la barrière","Oui","Non",,,"Oui"
"212","2023-08-16","230309","Ventes","Daniel Doré","Erreur de prix","vendu main horizon en barrotins hauteur 60'' le code n'existe pas donc utiliser le code de hauteur 48''. Prix du 48 est de 40.32$ vendu sur la commande 48.17$ mais aurait du être 50.40$ selon la règle de 3","Oui","Non",,,"Oui"
"213","2023-08-16","230674","Ventes","Daniel Doré","Produit manquant","pas la même quantité de rampe vendu et installé
manque installation barrière","Oui","Non",,,"Oui"
"214","2023-08-18","230683","Ventes","Daniel Doré","Installation","Manque installation main double","Oui","Non",,,"Oui"
"215","2023-08-23","230617","Production","Production","Verre non strapper","Job en livraison sections de non strapper seulement strapper avec le carton d'emballage","Oui","Non",,,"Oui"
"216","2023-08-23","230704","Ventes","Daniel Doré","Kilométrage","job à Beaupré 68 kilomètres sans aucun extra sur l'installation","Oui","Non",,,"Oui"
"217","2023-08-29","230682","Ventes","Daniel Doré","Erreur de produit","Une équipe est allé pour installer  au Lac-Frontière mais n'a pu faire l'installation car erreur de produit vendu main classique mais c'est main horizon","Oui","Non",,,"Oui"
"218","2023-08-28","230585","Production","Production","Oublier de donner produit","les caoutchouc des attaches EURO n'ont pas été donné en livraison","Oui","Non",,,"Oui"
"219","2023-08-29","230635","Ventes","Guy Drolet","Erreur Couleur","3 marches de fibre pas vendu de la bonne couleur","Oui","Non",,,"Oui"
"220","2023-08-31","230268","Production","Production","Erreur produit","Les caoutchoucs des attaches vision n'ont pas été donné avec la job","Oui","Non",,,"Oui"
"221","2023-09-07","230442","Ventes","Daniel Doré","Prise de mesure","Mauvaise configuration des rampes du garage on doit refaire un ''L'' au lieu de seulement une section droite","Oui","Non",,,"Oui"
"222","2023-09-25","230833","Ventes","Guy Drolet","Produit manquant","manque installation barrière","Oui","Non",,,"Oui"
"223","2023-09-27","230845","Ventes","Daniel Doré","Produit manquant","Chargé 1 poteau au lieu de 5 ","Oui","Non",,,"Oui"
"224","2023-10-20","230713","Production","Jocelyn Larouche","verre monter à l'envers","verre givré pour le projet complet et 1 descente le verre est onté pas du bon côté","Oui","Non",,,"Oui"
"225","2023-10-24","230711","Ventes","Daniel Doré","Erreur de prix","8 balcons à mesurer mais seulement chargé 75$ de frais de mesure
livraison chantier seulement 50$ pour 38 sections sur 8 balcons ","Oui","Non",,,"Oui"
"226","2023-10-24","230934","Ventes","Daniel Doré","Erreur de produit","vendu barrotin 3/4 mais demande barrotin 1-3/4
Gardex ison vendu mais pas vendu les attaches euro","Oui","Non",,,"Oui"
"227","2023-10-24","230935","Ventes","Martin Boiteau","Erreur de prix","installation chargé a 317.25$ tandis que le minimum est de 350.00$
","Oui","Non",,,"Oui"
"228","2023-10-26","230697","Mesures","Mesureurs","Hauteur section","Erreur de hauteur doit recommencer 3 sections","Oui","Non",,,"Oui"
"229","2023-10-26","230871","Ventes","Daniel Doré","Erreur de prix","Chargé 75$ de prise de mesure
temps réel pour mesure 2 heures à 2 hommes","Oui","Non",,,"Oui"
"230","2023-11-07","230971","Ventes","Daniel Doré","Produit manquant","manque installation barrière","Oui","Non",,,"Oui"
"231","2023-11-14","230981","Ventes","Daniel Doré","Produit manquant","manque installation barrière","Oui","Non",,,"Oui"
"232","2023-11-15","230957","Production","Production","Quincaillerie manquante","Les bouts et bases à barrotins ne sont pas dans la quincaillerie","Oui","Non",,,"Oui"
"233","2023-11-16","230979","Ventes","Daniel Doré","Erreur de quantité","sur la commande il a 46 poteaux mais en réalité 64 poteaux et 27 pieds linéaire de plus de rampes. retourné dossier à la correction.","Oui","Non",,,"Oui"
"234","2023-11-16","230480","Mesures","Mesureurs","Erreur de mesures","Sur la commande il est inscrit colonnes de 3'' mais mesurer avec colonne 1-3/4''","Oui","Non",,,"Oui"
"235","2023-11-20","230798","Ventes","Daniel Doré","Produit manquant","Manque frais de set up ainsi que l'extra pour couleur Gris métallique","Oui","Non",,,"Oui"
"236","2024-02-05","240049","Ventes","Daniel Doré","Erreur de quantité","Manque 12 poteaux à la soumission car le dernier étage a été calculé avec des colonnes mais il en a pas.","Oui","Non",,,"Oui"
"237","2024-02-09","240058","Ventes","Daniel Doré","Produit manquant","Manque 1 poteau dans la commande","Oui","Non",,,"Oui"
"238","2024-02-19","240053","Ventes","Daniel Doré","Installation","l'installation des murs intimités a té ajouté au code installation sur béton èa 15.50$ au lieu de 18.00$","Oui","Non",,,"Oui"
"239","2024-02-29","240060","Ventes","Daniel Doré","Kilométrage","mesure et installation job à St-Féréol Les Neiges 72km","Oui","Non",,,"Oui"
"240","2024-03-07","240053","Production","Jocelyn Larouche","Quincaillerie manquante","Manque équerre de fixation dans une section de rampes","Oui","Non",,,"Oui"
"241","2024-03-12","240053","Mesures","Mesureurs","Erreur de mesures","Mesures entre les colonnes erronnées. On doit recommencer 19 sections en barrotins","Oui","Non",,,"Oui"
"242","2024-03-19","240053","Mesures","Mesureurs","Erreur de mesures","refaire 3 autres sections pour alcons 204 - 206 et 310","Oui","Non",,,"Oui"
"243","2024-03-26","240090","Production","Nadine Giguère","Mauvaise mesure de coupe","Mauvais tableau utilisé pour le calcul des mains continue","Oui","Non",,,"Oui"
"244","2024-04-10","240128","Ventes","Martin Boiteau","Prise de mesure","Client entrepreneur, il manque la prise de mesure","Oui","Non",,,"Oui"
"245","2024-04-15","240081","Mesures","Mesureurs","Erreur de mesures","Recommander 2 verres de 12MM
1 bris dans le transport
1 erreur de mesure sur la hauteur","Oui","Non",,,"Oui"
"246","2024-04-17","240081-1","Production","Production","Quincaillerie manquante","Manque 1 kit de penture","Oui","Non",,,"Oui"
"247","2024-04-23","240064","Production","Production","verre monter à l'envers","Les logo des verres sont dans le haut","Oui","Non",,,"Oui"
"248","2024-04-24","230833","Ventes","Guy Drolet","Produit manquant","remplacer petite penture par grosse","Oui","Non",,,"Oui"
"249","2024-04-24","240144","Ventes","Guy Drolet","Produit manquant","remplacer petite penture pour grosse","Oui","Non",,,"Oui"
"250","2024-04-24","240180","Ventes","Guy Drolet","Produit manquant","remplacer petite penture pour grosse","Oui","Non",,,"Oui"
"251","2024-04-26","240138","Production","Production","Erreur produit","mal mural installer sur un poteau de départ mais fabriqué avec  embouts et sans angle de coupe tel qu'indiqué sur plan","Oui","Non",,,"Oui"
"252","2024-05-01","240144","Production","Production","Produit endommagé","main de 45'' trop égratignée","Oui","Non",,,"Oui"
"253","2024-05-01","240158","Production","Production","Produit endommagé","main de descente 16 5/8 égratignée","Oui","Non",,,"Oui"
"254","2024-05-02","240184","Ventes","Guy Drolet","Erreur Couleur","rampes vendu en noir mais la cliente mentionne que c'est Blanc","Oui","Non",,,"Oui"
"255","2024-05-06","240224","Ventes","Yves Gosselin","Kilométrage","livraison à 67 kilomètres aucun extra","Oui","Non",,,"Oui"
"256","2024-05-07","240228","Ventes","Guy Drolet","Installation","Le prix chargé pour installation est de 330 mais le minimum est à 350.00$","Oui","Non",,,"Oui"
"257","2024-05-09","240218","Ventes","Daniel Doré","Produit manquant","Manque main double","Oui","Non",,,"Oui"
"258","2024-05-09","240176","Ventes","Guy Drolet","Produit manquant","oublier les 4 poteaux dans la commande","Oui","Non",,,"Oui"
"259","2024-05-10","240049-304","MEP","Jocelyn Larouche","Erreur dessin","Erreur de mesure pour les mains continues","Oui","Non",,,"Oui"
"260","2024-05-16","240169","Ventes","Daniel Doré","Kilométrage","Extra Kilomètrage on chargé facturer tel quel accepté par Daniel","Oui","Non",,,"Oui"
"261","2024-05-22","240191","Ventes","Guy Drolet","Installation","Manque installation de barrière","Oui","Non",,,"Oui"
"262","2024-06-11","240375","Ventes","Guy Drolet","Produit manquant","manque frais descente en verre","Oui","Non",,,"Oui"
"263","2024-06-12","240372","Production","Production","Erreur d'assemblage","une track de descente d'installer à l'envers voir photo courriel Carol","Oui","Non",,,"Oui"
"264","2024-07-12","240533","Ventes","Guy Drolet","Erreur Couleur","Mauvaise couleur sur la commande","Oui","Non",,,"Oui"
"265","2024-07-17","240533","Ventes","Guy Drolet","Erreur Couleur","Erreur de couleur dans la commande, changer pas fait dans acomba. 
J'envoie un courriel","Oui","Non",,,"Oui"
"266","2024-08-19","240702","Ventes","Guy Drolet","Erreur de produit","Main Classique avec barrotins 3/4'' mais le code sur la commande est seulement la main classique ZZ96347BL.
Changement donné à Guy 19-08-2024","Oui","Non",,,"Oui"
"267","2024-08-23","240613","MEP","Catherine Denis","Erreur dessin","Poteaux manquant sur le dessins (ajout de rampes sur projet existant et verre commandé du client) hauteur 42 à l'oigine devait être changé en 48.
sur la commande 4 poteaux et sur le plan 2 poteaux.","Oui","Oui","Avertissement sur la vérification des quantité et surtout des projets existants","2024-08-23","Oui"
"268","2024-08-27","240013-entré","Mesures","Mesureurs","Erreur Pente","Poteau 1 coupé de 7/8''","Oui","Non",,,"Oui"
"269","2024-08-27","240562","Production","Production","Produit endommagé","Bulle de peinture sur la main","Oui","Non",,,"Oui"
"270","2024-08-23","240104-R1","Installation","Installateurs","Installation","Colonne grafignée et emplacement des bases non-respecté","Oui","Non",,,"Oui"
"271","2024-08-27","240658","Ventes","Guy Drolet","Erreur de produit","Commande intimité planche/latte au lieu de planche/planche","Oui","Non",,,"Oui"
"273","2024-08-27","240603","Installation","Installateurs","Installation","(Équipe Mick), Perçage des poteaux au mauvais endroit et apparent, bris d'une planche de trek, pas de photo prise avant et après, aucune déclaration des évènements par téléphone ou feuille d'inspection chantier.","Oui","Oui","Avertissement fait par Carol","2024-08-27","Oui"
"274","2024-08-27","240613","Ventes","Martin Boiteau","Infaisabilité","Demande de faire monter les verres de descentes sur place, section de 6 pieds, il faut faire une installation d'usine dans telle situation.","Oui","Oui","Avertssement fait à Martin","2024-08-27","Oui"
"275","2025-09-04","250883","Ventes","Yves Gosselin","Adresse du livrable manquante",,"Oui","Non",,,"Oui"
"276","2025-09-07","250919","Ventes","Yves Gosselin","Pas de feuille de suivi",,"Oui","Non",,,"Non"
"277","2025-09-07","250883","Ventes","Yves Gosselin","Pas de feuille de suivi",,"Oui","Non",,,"Non"
"278","2025-09-07","250883","Ventes","Yves Gosselin","Date de délai pas respecté",,"Oui","Non",,,"Non"
"279","2025-09-07","250883","Ventes","Yves Gosselin","Pas d'nformation sur la prise de mesure",,"Oui","Non",,,"Non"
"280","2025-09-07","250909","Ventes","Guy Drolet","Date de délai pas respecté",,"Oui","Non",,,"Non"
"281","2025-09-07","250916","Ventes","Yves Gosselin","Nouveau client pas accompte",,"Oui","Non",,,"Non"
"282","2025-09-08","250899","Ventes","Yves Gosselin","Date de délai pas respecté",,"Oui","Non",,,"Non"
"283","2025-09-08","250925","Ventes","Guy Drolet","Date de délai pas respecté",,"Oui","Non",,,"Non"
"284","2025-09-08","250915","Ventes","Guy Drolet","Date de délai pas respecté",,"Oui","Non",,,"Non"
"285","2025-09-08","250886","Ventes","Daniel Doré","Pas prêt à mesurer",,"Oui","Non",,,"Non"
"286","2025-09-10","250940","Ventes","Yves Gosselin","Date de délai pas respecté",,"Oui","Non",,,"Non"
"287","2025-09-14","250953","Ventes","Yves Gosselin","Pas de feuille de suivi",,"Oui","Non",,,"Non"
"288","2025-09-14","250735","Ventes","Yves Gosselin","Pas prêt à mesurer","Deuxième déplacement, le client n'était pas prêt pour ses escaliers","Oui","Non",,,"Non"
"289","2025-09-14","250948","Ventes","Martin Boiteau","Erreur de prix","- installation 1 hr minimum chargée sans le coût de déplacement","Oui","Non",,,"Non"
"290","2025-09-14","250942","Ventes","Martin Boiteau","Date de délai pas respecté",,"Oui","Non",,,"Non"
"291","2025-09-14","250946","Ventes","Guy Drolet","Date de délai pas respecté",,"Oui","Non",,,"Non"
"292","2026-01-20","260002","Mesures","Mesureurs","Hauteur section",,"Oui","Non",,,"Non"
